Time,ECG
9603,1.4838
9605,0.94458
9607,4.7189
9608,9.5716
9609,8.2236
9610,9.5716
9611,3.3709
9612,0.94458
9636,0.94458
9638,3.1013
9639,6.8756
9640,2.5621
9641,7.4148
9643,0.94458
9650,0.94458
9652,5.7973
9653,9.302
9654,8.7628
9655,8.4932
9656,9.5716
9657,2.8317
9659,7.1452
9660,9.8412
9661,1.7534
9663,1.2142
9675,1.2142
9676,2.023
9677,8.2236
9679,0.94458
9682,1.2142
9689,1.4838
9690,0.94458
9692,6.3365
9693,4.7189
9696,7.4148
9697,2.5621
9698,6.8756
9699,3.1013
9700,1.2142
9703,1.2142
9705,8.7628
9706,0.94458
9707,8.4932
9708,1.2142
9724,1.4838
9727,1.7534
9730,5.2581
9731,5.5277
9733,0.94458
9756,1.4838
9757,8.4932
9765,1.7534
9768,4.4493
9769,5.5277
9770,3.6405
9771,6.3365
9774,1.4838
9781,1.2142
9784,1.4838
9808,5.2581
9809,6.6061
9811,1.2142
9812,0.94458
9814,1.7534
9817,1.4838
9818,1.4838
9867,1.7534
9868,1.2142
9869,1.4838
9870,1.4838
9871,1.2142
9872,2.023
9874,0.94458
9875,1.4838
9876,1.4838
9877,1.4838
9878,1.4838
9879,1.4838
9880,0.94458
9882,1.2142
9884,2.2925
9885,1.2142
9886,1.4838
9887,1.4838
9888,1.2142
9889,2.023
9894,2.023
9895,2.023
9914,1.4838
9916,1.4838
9920,1.4838
9922,2.2925
9923,0.94458
9926,1.2142
9983,43.81
9984,96.65
9985,154.61
9986,222.01
9987,287.52
9988,353.03
9989,418.82
9990,483.52
9991,551.73
9992,596.75
9993,644.2
9994,679.51
9995,712.4
9996,729.93
9997,746.64
9998,740.17
9999,723.46
10000,698.11
10001,673.04
10002,631.26
10003,597.83
10004,573.02
10005,564.67
10006,556.31
10007,555.77
10008,544.99
10009,516.95
10010,472.46
10011,424.48
10012,379.99
10013,322.03
10014,273.23
10015,224.71
10016,187.23
10017,151.65
10018,111.21
10019,83.71
10020,54.324
10021,28.713
10022,8.4932
10497,0.94458
10506,1.4838
10517,1.2142
10534,1.2142
10538,1.2142
10555,2.5621
10558,1.7534
10559,1.2142
10570,1.4838
10573,1.7534
10599,1.2142
10600,4.1797
10601,6.8756
10602,0.94458
10617,2.2925
10625,1.2142
10627,1.2142
10628,1.2142
10629,1.2142
10630,1.2142
10631,1.2142
10632,1.2142
10633,1.2142
10634,1.2142
10635,1.2142
10636,1.2142
10637,1.2142
10638,1.2142
10639,1.2142
10640,0.94458
10641,1.7534
10663,2.2925
10665,0.94458
10725,2.8317
10726,2.5621
10733,3.1013
10734,1.7534
10735,2.023
10736,2.023
10737,2.023
10738,2.023
10739,2.023
10740,2.023
10741,2.023
10742,2.023
10743,2.023
10744,2.023
10745,1.7534
10746,2.8317
10748,1.7534
10750,2.023
10756,2.5621
10757,1.7534
10758,2.2925
10759,0.94458
10790,2.2925
10792,2.2925
10794,2.2925
10809,1.2142
10845,9.302
10846,58.368
10847,109.32
10848,169.17
10849,239.0
10850,308.28
10851,364.63
10852,440.65
10853,509.67
10854,559.81
10855,611.31
10856,650.4
10857,687.87
10858,715.1
10859,735.59
10860,741.52
